url,block,type,parse_valid,visible_fact_parity,eligible_feature,source_location,evidence_ids,issues,checked_at
https://dentix.ua/,PR04A local artifact,WebSite + WebPage + Dentist + Person,true,PASS: Service H1/answer/provider and selected managed Person name/role parity; preview graph absent,No eligibility/result claim,src/lib/entity-schema.ts; src/data/therapy-pages.ts; src/components/EntitySchema.tsx,structured_data_assertions.json; therapy_managed_content.json,Local only; no Offer/prices/FAQPage/Review/MedicalProcedure; supported address/hours/list items,2026-09-13T09:06:01.002482+00:00
https://dentix.ua/likari/,PR04A local artifact,WebSite + CollectionPage + Dentist + Person + BreadcrumbList,true,PASS: Service H1/answer/provider and selected managed Person name/role parity; preview graph absent,No eligibility/result claim,src/lib/entity-schema.ts; src/data/therapy-pages.ts; src/components/EntitySchema.tsx,structured_data_assertions.json; therapy_managed_content.json,Local only; no Offer/prices/FAQPage/Review/MedicalProcedure; supported address/hours/list items,2026-09-13T09:06:01.002482+00:00
https://dentix.ua/kontakty/,PR04A local artifact,WebSite + ContactPage + Dentist + BreadcrumbList,true,PASS: Service H1/answer/provider and selected managed Person name/role parity; preview graph absent,No eligibility/result claim,src/lib/entity-schema.ts; src/data/therapy-pages.ts; src/components/EntitySchema.tsx,structured_data_assertions.json; therapy_managed_content.json,Local only; no Offer/prices/FAQPage/Review/MedicalProcedure; supported address/hours/list items,2026-09-13T09:06:01.002482+00:00
https://dentix.ua/price.html,PR04A local artifact,WebSite + WebPage + Dentist + BreadcrumbList,true,PASS: Service H1/answer/provider and selected managed Person name/role parity; preview graph absent,No eligibility/result claim,src/lib/entity-schema.ts; src/data/therapy-pages.ts; src/components/EntitySchema.tsx,structured_data_assertions.json; therapy_managed_content.json,Local only; no Offer/prices/FAQPage/Review/MedicalProcedure; supported address/hours/list items,2026-09-13T09:06:01.002482+00:00
https://dentix.ua/terapevtychna-stomatolohiia/,PR04A local artifact,WebSite + WebPage + Dentist + Person + Service + BreadcrumbList,true,PASS: Service H1/answer/provider and selected managed Person name/role parity; preview graph absent,No eligibility/result claim,src/lib/entity-schema.ts; src/data/therapy-pages.ts; src/components/EntitySchema.tsx,structured_data_assertions.json; therapy_managed_content.json,Local only; no Offer/prices/FAQPage/Review/MedicalProcedure; supported address/hours/list items,2026-09-13T09:06:01.002482+00:00
https://dentix.ua/likuvannia-kariiesu/,PR04A local artifact,WebSite + WebPage + Dentist + Person + Service + BreadcrumbList,true,PASS: Service H1/answer/provider and selected managed Person name/role parity; preview graph absent,No eligibility/result claim,src/lib/entity-schema.ts; src/data/therapy-pages.ts; src/components/EntitySchema.tsx,structured_data_assertions.json; therapy_managed_content.json,Local only; no Offer/prices/FAQPage/Review/MedicalProcedure; supported address/hours/list items,2026-09-13T09:06:01.002482+00:00
https://dentix.ua/lechenie-pod-mikroskopom/,PR04A local artifact,WebSite + WebPage + Dentist + Person + Service + BreadcrumbList,true,PASS: Service H1/answer/provider and selected managed Person name/role parity; preview graph absent,No eligibility/result claim,src/lib/entity-schema.ts; src/data/therapy-pages.ts; src/components/EntitySchema.tsx,structured_data_assertions.json; therapy_managed_content.json,Local only; no Offer/prices/FAQPage/Review/MedicalProcedure; supported address/hours/list items,2026-09-13T09:06:01.002482+00:00
https://dentix.ua/khirurhichna-stomatolohiia/,PR04B local production artifact,WebSite + WebPage + Dentist + Service + BreadcrumbList,true,Service H1/answer/provider; zero initial Person; managed exact surgeon parity PASS,No eligibility/result claim,src/lib/entity-schema.ts; src/data/surgery-pages.ts; src/components/TeamSection.tsx,structured_data_assertions.json; surgery_managed_content.json,Local only; preview graph absent. No Offer/prices/FAQPage/Review/MedicalProcedure; support address/hours/list items. Future visible managed surgeon only.,2026-09-13T10:57:39.826480+00:00
https://dentix.ua/vydalennia-zuba/,PR04B local production artifact,WebSite + WebPage + Dentist + Service + BreadcrumbList,true,Service H1/answer/provider; zero initial Person; managed exact surgeon parity PASS,No eligibility/result claim,src/lib/entity-schema.ts; src/data/surgery-pages.ts; src/components/TeamSection.tsx,structured_data_assertions.json; surgery_managed_content.json,Local only; preview graph absent. No Offer/prices/FAQPage/Review/MedicalProcedure; support address/hours/list items. Future visible managed surgeon only.,2026-09-13T10:57:39.826480+00:00
https://dentix.ua/vydalennia-zuba-mudrosti/,PR04B local production artifact,WebSite + WebPage + Dentist + Service + BreadcrumbList,true,Service H1/answer/provider; zero initial Person; managed exact surgeon parity PASS,No eligibility/result claim,src/lib/entity-schema.ts; src/data/surgery-pages.ts; src/components/TeamSection.tsx,structured_data_assertions.json; surgery_managed_content.json,Local only; preview graph absent. No Offer/prices/FAQPage/Review/MedicalProcedure; support address/hours/list items. Future visible managed surgeon only.,2026-09-13T10:57:39.826480+00:00
