competitor,type,market,language,evidence_url,collected_at,observed_strength,relevant_pages,limitations,query_cluster,discovery_surface,http_status,title,h1,content_structure,city_relevance,doctor_entity_evidence,pricing_transparency,faq_pattern,schema_types,internal_link_architecture,citation_review_pattern,observed_weakness,dentix_opportunity
clinic.houston.dp.ua,procedure page,Ukraine / Dnipro,uk,https://clinic.houston.dp.ua/endodontics,2026-09-12T12:01:31Z,"Dedicated microscope endodontics page separates retreatment, treatment stages, cost scope and common questions",/endodontics,First-party source HTML plus dated search context; not all supplementary pages were Google top results. No rank/volume/backlink metrics or medical endorsement.,endodontics,Google/browser sample or supplementary web search; see serp-sample.csv,200,Лікування каналів під мікроскопом Дніпро — ціна | Хʼюстон,Лікування каналів під мікроскопом,Чому саме під мікроскопом | Лікування каналів: чому мікроскоп обовʼязковий | Знайти всі канали | Точна механічна обробка | Виявити мікротріщини | Контроль пломбування | Перелікування (ревізія) | Перелікування каналів | Від запису до готового зуба | Перелікування має нижчий прогноз,Dnipro business/service page; page text/navigation inspected,Clinician references/sections observed; independently verified credentials UNKNOWN,price information detected; freshness/inclusions require validation,Question/FAQ sections observed,AggregateRating | Answer | BreadcrumbList | Dentist | FAQPage | ListItem | MedicalProcedure | Offer | PriceSpecification | Question | WebPage,/#services | /prices | /prices | /likar/kobozev | /blog/?likar=kobozev,Public social/maps/review links where present; no backlink provider/export,Search snippet and fetched page had different starting-price text; current source-date validation required.,"Connect verified treating clinician, scoped service answer, transparent dated inclusions and local conversion; no borrowed clinical claims."
www.denttime.com.ua,procedure page,Ukraine / Dnipro,uk,https://www.denttime.com.ua/service/vydalenya-zubiv/,2026-09-12T12:01:31Z,"Extraction page includes process, clinicians and case/asset sections",/service/vydalenya-zubiv/,First-party source HTML plus dated search context; not all supplementary pages were Google top results. No rank/volume/backlink metrics or medical endorsement.,surgery,Google/browser sample or supplementary web search; see serp-sample.csv,200,Видалення зубів у Дніпрі - Видалити зуб мудрості у DentTime,Видалення зубів у Дніпрі,"Замовити зворотній дзвінок | Замовити зворотній дзвінок | Підходить, якщо: | Переваги послуги видалення зубів: | Швидке усунення больових відчуттів | Попередження ускладнень | Сучасні технології | Професійний підхід | Підготовка до імплантації | Видалити зуб мудрості у Дніпрі",Dnipro business/service page; page text/navigation inspected,Clinician references/sections observed; independently verified credentials UNKNOWN,price information detected; freshness/inclusions require validation,Question/FAQ sections observed,BreadcrumbList | EntryPoint | ImageObject | ListItem | Organization | PropertyValueSpecification | ReadAction | SearchAction | WebPage | WebSite,https://www.denttime.com.ua/service/ymplantaczyya/ | https://www.denttime.com.ua/service/vydalenya-zubiv/ | https://www.denttime.com.ua/service/koronky-dlya-zubiv/ | https://www.denttime.com.ua/service/ortodontiya/ | https://www.denttime.com.ua/service/endodontiya/ | https://www.denttime.com.ua/service/likuvannya-kariyesu-restavracziyi/ | https://www.denttime.com.ua/service/profilaktyka/ | https://www.denttime.com.ua/service/ymplantaczyya/,Public social/maps/review links where present; no backlink provider/export,Case authenticity/consent not verified; do not reproduce cases.,"Connect verified treating clinician, scoped service answer, transparent dated inclusions and local conversion; no borrowed clinical claims."
stomaservice.com.ua,service hub,Ukraine / Dnipro,uk,https://stomaservice.com.ua/therapy,2026-09-12T12:03:24Z,Explicit service scope and navigation; price text visible; clinician references visible,/therapy,First-party source HTML plus dated search context; not all supplementary pages were Google top results. No rank/volume/backlink metrics or medical endorsement.,therapy,Google/browser sample or supplementary web search; see serp-sample.csv,200,Терапевтична стоматологія у Дніпрі ⭐ Лікар стоматолог терапевт ціна та вартість | Стомасервіс,Терапія в Дніпрі,Скільки коштує терапевтична стоматологія у Дніпрі? | Терапія проводиться в наступних випадках | Стоматолог-терапевт надає наступні послуги:,Dnipro business/service page; page text/navigation inspected,Clinician references/sections observed; independently verified credentials UNKNOWN,price information detected; freshness/inclusions require validation,Question/FAQ sections observed,AggregateRating | CreativeWorkSeries,mailto:stomaservicednepr@gmail.com | https://www.facebook.com/stomaservicedp | https://www.instagram.com/stomaservicedp | https://t.me/stomaservicedp | /services | /doctors | /price | https://t.me/stomaservicedp,Public social/maps/review links where present; no backlink provider/export,Named clinical-review date/provenance not established in bounded inspection; do not infer absence or low quality.,"Connect verified treating clinician, scoped service answer, transparent dated inclusions and local conversion; no borrowed clinical claims."
stomaservice.com.ua,service hub,Ukraine / Dnipro,uk,https://stomaservice.com.ua/surgery,2026-09-12T12:03:24Z,Explicit service scope and navigation; price text visible; clinician references visible,/surgery,First-party source HTML plus dated search context; not all supplementary pages were Google top results. No rank/volume/backlink metrics or medical endorsement.,surgery,Google/browser sample or supplementary web search; see serp-sample.csv,200,Хірургія у Дніпрі ⭐ Хірург стоматолог ціна та вартість | Стомасервіс,Хірургія в Дніпрі,ПОСЛУГИ СТОМАТОЛОГІЧНОЇ ХІРУРГІЇ В ДНІПРІ | ЦІНИ НА ПОСЛУГИ ХІРУРГА-СТОМАТОЛОГА В ДНІПРІ | ЯК ПІДГОТУВАТИСЯ ДО ХІРУРГІЧНОГО ВТРУЧАННЯ В НАШІЙ СТОМАТОЛОГІЇ В ДНІПРІ? | ЧОМУ ВАРТО ЗВЕРНЕТЬСЯ У СТОМАТОЛОГІЧНУ ХІРУРГІЮ В ДНІПРІ?,Dnipro business/service page; page text/navigation inspected,Clinician references/sections observed; independently verified credentials UNKNOWN,price information detected; freshness/inclusions require validation,Question/FAQ sections observed,AggregateRating | CreativeWorkSeries,mailto:stomaservicednepr@gmail.com | https://www.facebook.com/stomaservicedp | https://www.instagram.com/stomaservicedp | https://t.me/stomaservicedp | /services | /doctors | /price | https://t.me/stomaservicedp,Public social/maps/review links where present; no backlink provider/export,Named clinical-review date/provenance not established in bounded inspection; do not infer absence or low quality.,"Connect verified treating clinician, scoped service answer, transparent dated inclusions and local conversion; no borrowed clinical claims."
stomaservice.com.ua,procedure page,Ukraine / Dnipro,uk,https://stomaservice.com.ua/surgery/udalenie-zubov,2026-09-12T12:03:24Z,Explicit service scope and navigation; price text visible; clinician references visible,/surgery/udalenie-zubov,First-party source HTML plus dated search context; not all supplementary pages were Google top results. No rank/volume/backlink metrics or medical endorsement.,surgery,Google/browser sample or supplementary web search; see serp-sample.csv,200,Видалення зубів у Дніпрі ⭐ Видалення зуба ціна та вартість | Стомасервіс,Видалення зубів у Дніпрі,"Видалення зуба: коли потрібна процедура | Скільки коштує вирвати зуб в Дніпрі? | Вартість видалення зуба у Дніпрі: від чого залежить | Етапи видалення зуба (як проходить процедура) | Показання до видалення зуба | Коли процедуру краще відкласти | Переваги видалення зубів у стоматології «Стомасервіс» | Просте та складне видалення: у чому різниця | Альвостаз, Стимул ОСС, PRF: підтримка загоєння після видалення | Рекомендації після видалення зуба",Dnipro business/service page; page text/navigation inspected,Clinician references/sections observed; independently verified credentials UNKNOWN,price information detected; freshness/inclusions require validation,Question/FAQ sections observed,AggregateRating | CreativeWorkSeries,mailto:stomaservicednepr@gmail.com | https://www.facebook.com/stomaservicedp | https://www.instagram.com/stomaservicedp | https://t.me/stomaservicedp | /services | /doctors | /price | https://t.me/stomaservicedp,Public social/maps/review links where present; no backlink provider/export,Named clinical-review date/provenance not established in bounded inspection; do not infer absence or low quality.,"Connect verified treating clinician, scoped service answer, transparent dated inclusions and local conversion; no borrowed clinical claims."
stomaservice.com.ua,service hub,Ukraine / Dnipro,uk,https://stomaservice.com.ua/implantology,2026-09-12T12:03:25Z,Explicit service scope and navigation; price text visible; clinician references visible,/implantology,First-party source HTML plus dated search context; not all supplementary pages were Google top results. No rank/volume/backlink metrics or medical endorsement.,implantation,Google/browser sample or supplementary web search; see serp-sample.csv,200,Імплантація зубів у Дніпрі ⭐ Імплант на зуб | Стомасервіс,Імплантація зубів в Дніпрі,"Які є методи встановлення імплантів зубів в Дніпрі в ""Стомасервіс""? | Імплант зуба: ціна в Дніпрі в клініці «Стомасервіс» | Які види імплантації зубів в Дніпрі ми пропонуємо | З яких елементів складаються зубні імпланти? | ЯКІ ЕТАПИ ІМПЛАНТАЦІЇ ЗУБІВ В ""СТОМАСЕРВІС"" В ДНІПРІ? | ПОКАЗАННЯ ТА ПРОТИПОКАЗАННЯ ДО ПРОВЕДЕННЯ ІМПЛАНТАЦІЇ ЗУБІВ В ДНІПРІ | Реабілітація та догляд після імплантації зубів",Dnipro business/service page; page text/navigation inspected,Clinician references/sections observed; independently verified credentials UNKNOWN,price information detected; freshness/inclusions require validation,Question/FAQ sections observed,AggregateRating | CreativeWorkSeries,mailto:stomaservicednepr@gmail.com | https://www.facebook.com/stomaservicedp | https://www.instagram.com/stomaservicedp | https://t.me/stomaservicedp | /services | /doctors | /price | https://t.me/stomaservicedp,Public social/maps/review links where present; no backlink provider/export,Named clinical-review date/provenance not established in bounded inspection; do not infer absence or low quality.,"Connect verified treating clinician, scoped service answer, transparent dated inclusions and local conversion; no borrowed clinical claims."
dental-euro.com.ua,procedure page,Ukraine / Dnipro,ru-RU,https://dental-euro.com.ua/implantologiya,2026-09-12T12:03:25Z,Explicit service scope and navigation; price text visible; clinician references visible,/implantologiya,First-party source HTML plus dated search context; not all supplementary pages were Google top results. No rank/volume/backlink metrics or medical endorsement.,implantation,Google/browser sample or supplementary web search; see serp-sample.csv,200,Имплантация зубов Днепр: цена имплантации 1 зуба под ключ,Имплантация зубов в Днепре,Преимущества имплантации зубов | Виды имплантации зубов | Этапы | Показания | Возможные противопоказания | Реабилитация и уход | ЦЕНЫ НА ДАННЫЕ УСЛУГИ | Установка импланта Straumann - Штрауман (Швейцария) | Установка импланта SKY - Скай (Германия) | Установка импланта ICX (Германия),Dnipro business/service page; page text/navigation inspected,Clinician references/sections observed; independently verified credentials UNKNOWN,price information detected; freshness/inclusions require validation,NOT_ESTABLISHED,BreadcrumbList | EntryPoint | ImageObject | ListItem | ReadAction | SearchAction | WebPage | WebSite,Navigation present; topical link details not transcribed,Public social/maps/review links where present; no backlink provider/export,"Fetched caries source is Russian while Ukrainian query snippet was localized; translation and fresh-price parity need inspection, not inference.","Connect verified treating clinician, scoped service answer, transparent dated inclusions and local conversion; no borrowed clinical claims."
dentalstudio.dp.ua,price page,Ukraine / Dnipro,uk-UA,https://dentalstudio.dp.ua/implantatsiya-zubiv-tsiny/,2026-09-12T12:03:25Z,Explicit service scope and navigation; price text visible; clinician references visible,/implantatsiya-zubiv-tsiny,First-party source HTML plus dated search context; not all supplementary pages were Google top results. No rank/volume/backlink metrics or medical endorsement.,implantation,Google/browser sample or supplementary web search; see serp-sample.csv,200,Ціни на послуги імплантації Dental Studio у Дніпрі,Ціни на послуги імплантації Dental Studio у Дніпрі,Спеціальна пропозиція на чищення зубів | Записатися на прийом | Запис на прийом | Запис на прийом | Час роботи: | Ми у соцмережах | Спеціальна пропозиція на чищення зубів | Знижка для інвалідів війни | Знижка для пенсіонерів | Лікування зубів під мікроскопом,Dnipro business/service page; page text/navigation inspected,Clinician references/sections observed; independently verified credentials UNKNOWN,price information detected; freshness/inclusions require validation,NOT_ESTABLISHED,BreadcrumbList | ImageObject | ListItem | Organization | WebPage | WebSite,https://dentalstudio.dp.ua/tsiny/ | https://dentalstudio.dp.ua/implantatsiya-zubiv-tsiny/ | https://dentalstudio.dp.ua/tsiny/ | https://dentalstudio.dp.ua/implantatsiya-zubiv-tsiny/ | https://dentalstudio.dp.ua/tsiny/,Public social/maps/review links where present; no backlink provider/export,Named clinical-review date/provenance not established in bounded inspection; do not infer absence or low quality.,"Connect verified treating clinician, scoped service answer, transparent dated inclusions and local conversion; no borrowed clinical claims."
dnipro.dentaltech.com.ua,procedure page,Ukraine / Dnipro,uk,https://dnipro.dentaltech.com.ua/services/implantaciya/,2026-09-12T12:03:25Z,Explicit service scope and navigation; price text visible; clinician references visible,/services/implantaciya/,First-party source HTML plus dated search context; not all supplementary pages were Google top results. No rank/volume/backlink metrics or medical endorsement.,implantation,Google/browser sample or supplementary web search; see serp-sample.csv,200,ᐉ Імплантація зубів у Дніпрі ≡ Скільки коштує імплант?,Імплантація зубів в Дніпрі – Ціна за 1 імплант,Ціна на імпланти зуба | Поставити імплант зуба – ціна за видами робіт | Переваги імплантації зуба | Як проходить установка імпланту | Відео установки імпланта зуба | Показання до імплантації зуба | Протипоказання до імплантування зуба | Види імплантації зубів | Догляд після імплантації зубів | Часто задавані питання,Dnipro business/service page; page text/navigation inspected,Clinician references/sections observed; independently verified credentials UNKNOWN,price information detected; freshness/inclusions require validation,Question/FAQ sections observed,Answer | Article | ImageObject | Person | Place | PostalAddress | Question | WebSite,https://dnipro.dentaltech.com.ua/services/ | https://dnipro.dentaltech.com.ua/services/ortodontia/ | https://dnipro.dentaltech.com.ua/services/ortodontia/brekety-czina/ | https://dnipro.dentaltech.com.ua/services/implantaciya/odnoetapna/ | https://dnipro.dentaltech.com.ua/services/implantaciya/implantaty-neodent-gm-helix/ | https://dnipro.dentaltech.com.ua/services/implantaciya/implantaty-dio-uf-ufii-yakisni-korejski-implanty-u-dnipri/ | https://dnipro.dentaltech.com.ua/services/implantaciya/shtrauman/ | https://dnipro.dentaltech.com.ua/services/implantaciya/icx/,Public social/maps/review links where present; no backlink provider/export,Named clinical-review date/provenance not established in bounded inspection; do not infer absence or low quality.,"Connect verified treating clinician, scoped service answer, transparent dated inclusions and local conversion; no borrowed clinical claims."
socclinik.com,procedure page,Ukraine / Dnipro,uk,https://socclinik.com/info-ua/likuvannya-pid-mikroskopom/,2026-09-12T12:14:47Z,Explicit service scope and navigation; price text visible; clinician references visible,/info-ua/likuvannya-pid-mikroskopom/,First-party source HTML plus dated search context; not all supplementary pages were Google top results. No rank/volume/backlink metrics or medical endorsement.,endodontics,Google/browser sample or supplementary web search; see serp-sample.csv,200,Лікування зубів під мікроскопом Дніпро | SOCclinic Слой 1-svg Mail-svg,Лікування зубів під мікроскопом у Дніпрі,Показання та протипоказання для лікування зубів під мікроскопом | Переваги та недоліки лікування зубів під мікроскопом | Вся правда про ПЛОМБИ | Часті запитання | Наші спеціалісти | Рубрики | Зміст | Актуальні публікації | Як в домашніх умовах якісно почистити зуби | Відгуки про стоматологічну клініку SOCclinic,Dnipro business/service page; page text/navigation inspected,Clinician references/sections observed; independently verified credentials UNKNOWN,price information detected; freshness/inclusions require validation,Question/FAQ sections observed,Answer | Article | BreadcrumbList | EntryPoint | FAQPage | ImageObject | ListItem | Organization | Person | Question | ReadAction | SearchAction | WebPage | WebSite,https://socclinik.com/doctors/ | https://socclinik.com/services/ | https://socclinik.com/services/diagnostika/ | https://socclinik.com/services/konsultaciya-stomatologa-dnipro/ | https://socclinik.com/services/parodontologiya/ | https://socclinik.com/services/therapy/ | https://socclinik.com/services/childrens-dentistry/ | https://socclinik.com/services/dytyacha-stomatologiya/,Public social/maps/review links where present; no backlink provider/export,Named clinical-review date/provenance not established in bounded inspection; do not infer absence or low quality.,"Connect verified treating clinician, scoped service answer, transparent dated inclusions and local conversion; no borrowed clinical claims."
