query,language,market,intent,journey_stage,primary_url,page_type,offer,conversion,evidence_source,evidence_date,device,justification,status
імплантація зубів Дніпро,uk,Ukraine / Dnipro,commercial service/clinician evaluation,evaluate/contact,https://dentix.ua/implantatsiya/,service/procedure page,implantation,phone_click intent; connected_call and qualified_lead measured separately,serp-sample.csv; competitor-evidence.csv; crawl-report.csv; PR02 research methodology; PR04C bounded five-query public sanity: research-methodology.md; external research-freshness.json,2026-09-13,PR04C public search device/location/personalization UNKNOWN; historical PR02 desktop Chrome / Kyiv IP sample retained separately,"Preserve legacy URL; implantation service and price intent; separate prosthetics price/surface; no turnkey inclusions or clinical claims. Prosthetics is preservation, not new top growth cluster. Ukrainian publication only.",IMPLEMENTED_LOCALLY_VALIDATED_DRAFT_PENDING
зубні імпланти Дніпро,uk,Ukraine / Dnipro,commercial service/clinician evaluation,evaluate/contact,https://dentix.ua/implantatsiya/,service/procedure page,implantation,phone_click intent; connected_call and qualified_lead measured separately,serp-sample.csv; competitor-evidence.csv; crawl-report.csv; PR02 research methodology; PR04C bounded five-query public sanity: research-methodology.md; external research-freshness.json,2026-09-13,PR04C public search device/location/personalization UNKNOWN; historical PR02 desktop Chrome / Kyiv IP sample retained separately,"Preserve legacy URL; implantation service and price intent; separate prosthetics price/surface; no turnkey inclusions or clinical claims. Prosthetics is preservation, not new top growth cluster. Ukrainian publication only.",IMPLEMENTED_LOCALLY_VALIDATED_DRAFT_PENDING
стоматологічна імплантація Дніпро,uk,Ukraine / Dnipro,commercial service/clinician evaluation,evaluate/contact,https://dentix.ua/implantatsiya/,service/procedure page,implantation,phone_click intent; connected_call and qualified_lead measured separately,serp-sample.csv; competitor-evidence.csv; crawl-report.csv; PR02 research methodology; PR04C bounded five-query public sanity: research-methodology.md; external research-freshness.json,2026-09-13,PR04C public search device/location/personalization UNKNOWN; historical PR02 desktop Chrome / Kyiv IP sample retained separately,"Preserve legacy URL; implantation service and price intent; separate prosthetics price/surface; no turnkey inclusions or clinical claims. Prosthetics is preservation, not new top growth cluster. Ukrainian publication only.",IMPLEMENTED_LOCALLY_VALIDATED_DRAFT_PENDING
вартість імплантації зубів Дніпро,uk,Ukraine / Dnipro,commercial service/clinician evaluation,evaluate/contact,https://dentix.ua/implantatsiya/,service/procedure page,implantation,phone_click intent; connected_call and qualified_lead measured separately,serp-sample.csv; competitor-evidence.csv; crawl-report.csv; PR02 research methodology; PR04C bounded five-query public sanity: research-methodology.md; external research-freshness.json,2026-09-13,PR04C public search device/location/personalization UNKNOWN; historical PR02 desktop Chrome / Kyiv IP sample retained separately,"Preserve legacy URL; implantation service and price intent; separate prosthetics price/surface; no turnkey inclusions or clinical claims. Prosthetics is preservation, not new top growth cluster. Ukrainian publication only.",IMPLEMENTED_LOCALLY_VALIDATED_DRAFT_PENDING
DENTIX Дніпро,uk,Ukraine / Dnipro,local clinic navigation,evaluate/contact,https://dentix.ua/,home,brand,phone_click intent; connected_call and qualified_lead measured separately,serp-sample.csv; competitor-evidence.csv; crawl-report.csv; PR02 research methodology,2026-09-12,"desktop Chrome; Dnipro query, IP locale Kyiv","Verified clinic entity, founder facts and service navigation; Ukrainian publication only; RU variant not a language launch.",IMPLEMENTED_LOCALLY_NOT_PUBLISHED
DENTIX Калинова 28,uk,Ukraine / Dnipro,local clinic navigation,evaluate/contact,https://dentix.ua/,home,brand,phone_click intent; connected_call and qualified_lead measured separately,serp-sample.csv; competitor-evidence.csv; crawl-report.csv; PR02 research methodology,2026-09-12,"desktop Chrome; Dnipro query, IP locale Kyiv","Verified clinic entity, founder facts and service navigation; Ukrainian publication only; RU variant not a language launch.",IMPLEMENTED_LOCALLY_NOT_PUBLISHED
стоматологія Калинова Дніпро,uk,Ukraine / Dnipro,local clinic navigation,evaluate/contact,https://dentix.ua/,home,local,phone_click intent; connected_call and qualified_lead measured separately,serp-sample.csv; competitor-evidence.csv; crawl-report.csv; PR02 research methodology,2026-09-12,"desktop Chrome; Dnipro query, IP locale Kyiv","Verified clinic entity, founder facts and service navigation; Ukrainian publication only; RU variant not a language launch.",IMPLEMENTED_LOCALLY_NOT_PUBLISHED
лечение кариеса Днепр,ru,Ukraine / Dnipro,commercial service/clinician evaluation,evaluate/contact,https://dentix.ua/likuvannia-kariiesu/,procedure page,caries,phone_click intent; connected_call and qualified_lead measured separately,serp-sample.csv; competitor-evidence.csv; crawl-report.csv; PR02 research methodology,2026-09-12,"desktop Chrome; Dnipro query, IP locale Kyiv",Distinct filling/restoration decision; not a canal page; Ukrainian publication only; RU variant not a language launch.,MERGED_PREVIEW_VERIFIED_PRODUCTION_NOT_LAUNCHED
лечение каналов Днепр,ru,Ukraine / Dnipro,commercial service/clinician evaluation,evaluate/contact,https://dentix.ua/lechenie-pod-mikroskopom/,procedure page,endodontics,phone_click intent; connected_call and qualified_lead measured separately,serp-sample.csv; competitor-evidence.csv; crawl-report.csv; PR02 research methodology,2026-09-12,"desktop Chrome; Dnipro query, IP locale Kyiv",One consolidated endodontic/microscope destination preserves existing URL; no separate canals page yet; Ukrainian publication only; RU variant not a language launch.,MERGED_PREVIEW_VERIFIED_PRODUCTION_NOT_LAUNCHED
стоматолог хирург Днепр,ru,Ukraine / Dnipro,commercial service/clinician evaluation,evaluate/contact,https://dentix.ua/khirurhichna-stomatolohiia/,service hub,surgery,phone_click intent; connected_call and qualified_lead measured separately,serp-sample.csv; competitor-evidence.csv; crawl-report.csv; PR02 research methodology,2026-09-12,"desktop Chrome; Dnipro query, IP locale Kyiv",Clinical-scope hub distinct from extraction booking; Ukrainian publication only; RU variant not a language launch. PR04B: bounded service/organizational copy; no approved surgeon role; phone guidance; professional review UNKNOWN/NOT_COMPLETED; RU research-only.,RESEARCH_ONLY_RU_NO_RUSSIAN_PAGE
удаление зуба Днепр,ru,Ukraine / Dnipro,commercial service/clinician evaluation,evaluate/contact,https://dentix.ua/vydalennia-zuba/,procedure page,extraction,phone_click intent; connected_call and qualified_lead measured separately,serp-sample.csv; competitor-evidence.csv; crawl-report.csv; PR02 research methodology,2026-09-12,"desktop Chrome; Dnipro query, IP locale Kyiv",Complex extraction initially section on extraction page; review GSC/intent before splitting; Ukrainian publication only; RU variant not a language launch. PR04B: bounded service/organizational copy; no approved surgeon role; phone guidance; professional review UNKNOWN/NOT_COMPLETED; RU research-only.,RESEARCH_ONLY_RU_NO_RUSSIAN_PAGE
удаление зуба мудрости Днепр,ru,Ukraine / Dnipro,commercial service/clinician evaluation,evaluate/contact,https://dentix.ua/vydalennia-zuba-mudrosti/,procedure page,wisdom,phone_click intent; connected_call and qualified_lead measured separately,serp-sample.csv; competitor-evidence.csv; crawl-report.csv; PR02 research methodology,2026-09-12,"desktop Chrome; Dnipro query, IP locale Kyiv",Distinct wisdom-tooth evaluation supported by recurring dedicated competitor pages; Ukrainian publication only; RU variant not a language launch. PR04B: bounded service/organizational copy; no approved surgeon role; phone guidance; professional review UNKNOWN/NOT_COMPLETED; RU research-only.,RESEARCH_ONLY_RU_NO_RUSSIAN_PAGE
имплантация зубов Днепр,ru,Ukraine / Dnipro,commercial service/clinician evaluation,evaluate/contact,https://dentix.ua/implantatsiya/,service/procedure page,implantation,phone_click intent; connected_call and qualified_lead measured separately,serp-sample.csv; competitor-evidence.csv; crawl-report.csv; PR02 research methodology,2026-09-12,"desktop Chrome; Dnipro query, IP locale Kyiv","Preserve legacy URL; implantation service and price intent; separate prosthetics price/surface; no turnkey inclusions or clinical claims. Prosthetics is preservation, not new top growth cluster. Ukrainian publication only.",RESEARCH_ONLY_RU_NO_RUSSIAN_PAGE
импланты зубов Днепр,ru,Ukraine / Dnipro,commercial service/clinician evaluation,evaluate/contact,https://dentix.ua/implantatsiya/,service/procedure page,implantation,phone_click intent; connected_call and qualified_lead measured separately,serp-sample.csv; competitor-evidence.csv; crawl-report.csv; PR02 research methodology,2026-09-12,"desktop Chrome; Dnipro query, IP locale Kyiv","Preserve legacy URL; implantation service and price intent; separate prosthetics price/surface; no turnkey inclusions or clinical claims. Prosthetics is preservation, not new top growth cluster. Ukrainian publication only.",RESEARCH_ONLY_RU_NO_RUSSIAN_PAGE
