qa_id,date,release_ref,area,test,evidence,expected,actual,result,owner,follow_up
QA-PR04A-FOUNDER,2026-09-13T09:06:01.002482+00:00,51e1da2343923d5e997d8bb6d7abe6734b9bc24c + PR04A pre-commit source,founder,Founder portrait/video/poster regression,External DENTIX_PR04A_THERAPY_EVIDENCE_2026-09-13/founder_video_integration.json,Approved sources; bounded copy; local acceptance only; no POST or production action,16 PASS; both engines/profiles; 390/1440 and JS/no-JS,PASS,Codex,Draft PR review; production/reviewer/access/cutover gates remain; claims=[]
QA-PR04A-OPERATOR,2026-09-13T09:09:31.382466+00:00,51e1da2343923d5e997d8bb6d7abe6734b9bc24c + PR04A pre-commit source,controls,PR04A bounded acceptance,External DENTIX_PR04A_THERAPY_EVIDENCE_2026-09-13/operator-identity.json; validator-results.json; isolation-source-contracts.json,Local acceptance; approved facts; no POST or external changes,Bundle 0.2.1 identity 213 files/10 skills; operator/client/state/evidence/assets/outcome/page-inventory validators PASS; 47 negative/positive outcome tests PASS; DENTIX path/source scope PASS,PASS,Codex,Draft review only; production review/access/cutover boundaries remain; claims=[]
QA-PR04A-VISUAL,2026-09-13T09:09:31.382466+00:00,51e1da2343923d5e997d8bb6d7abe6734b9bc24c + PR04A pre-commit source,visual,PR04A bounded acceptance,External DENTIX_PR04A_THERAPY_EVIDENCE_2026-09-13/visual-review.md; top-*.png; screenshots/*.png,Local acceptance; approved facts; no POST or external changes,390/1440 heroes for three routes visually inspected; five-width automated overflow/semantic checks PASS; existing design retained,PASS,Codex,Draft review only; production review/access/cutover boundaries remain; claims=[]
QA-PR04A-MERGE-REVIEW,2026-09-13T10:20:50.948291+00:00,86e1130603ea98243c93c971a1e0285ff53901db,merge gate preflight,Independent remote/evidence/source/content/contract review,External DENTIX_PR04A_MERGE_PREVIEW_DEPLOY_EVIDENCE_2026-09-13: repository-preflight.json; input-evidence-verification.json; six-source-pins.json; independent-content-contract-review.md,Exact base/head/40 paths; bounded approved content; no clinical review claim,PASS; 166 checksum entries; six source pins; NO_SERVER_CI; historical QA reconciled,PASS,Codex,Fresh final-head suite and Ready/merge/one preview deployment pending; professional review UNKNOWN/NOT_COMPLETED; production NOT_LAUNCHED; claims=[]
QA-PR04B-UNIT,2026-09-13T11:01:55.872913+00:00,be42e9d3547a9388e2e0a0ffa4d7258a55616579 + PR04B precommit source,Unit/source/role/price/SSR,PR04B authorized acceptance,DENTIX_PR04B_SURGERY_EVIDENCE_2026-09-13/npm-test.log,Local-only; approved current facts; no inferred surgeon; zero POST; no production action,20 PASS; zero SSR requests,PASS,Codex,One normal commit/push/Draft PR and external evidence; stop. Professional review UNKNOWN/NOT_COMPLETED; production blocked; claims=[]
QA-PR04B-BUILD,2026-09-13T11:01:55.872913+00:00,be42e9d3547a9388e2e0a0ffa4d7258a55616579 + PR04B precommit source,Preview/production,PR04B authorized acceptance,DENTIX_PR04B_SURGERY_EVIDENCE_2026-09-13/build-preview.log; build-production.log,Local-only; approved current facts; no inferred surgeon; zero POST; no production action,Both PASS; ten initial patient artifacts per profile,PASS,Codex,One normal commit/push/Draft PR and external evidence; stop. Professional review UNKNOWN/NOT_COMPLETED; production blocked; claims=[]
QA-PR04B-ARTIFACT,2026-09-13T11:01:55.872913+00:00,be42e9d3547a9388e2e0a0ffa4d7258a55616579 + PR04B precommit source,Head/sitemap/schema/links/HTTP,PR04B authorized acceptance,DENTIX_PR04B_SURGERY_EVIDENCE_2026-09-13/artifact-tests.log; *_assertions.json,Local-only; approved current facts; no inferred surgeon; zero POST; no production action,28 PASS; ten production sitemap URLs; preview no sitemap/graph/canonical; 404/admin isolation,PASS,Codex,One normal commit/push/Draft PR and external evidence; stop. Professional review UNKNOWN/NOT_COMPLETED; production blocked; claims=[]
QA-PR04B-BROWSER,2026-09-13T11:01:55.872913+00:00,be42e9d3547a9388e2e0a0ffa4d7258a55616579 + PR04B precommit source,Five widths in both profiles,PR04B authorized acceptance,DENTIX_PR04B_SURGERY_EVIDENCE_2026-09-13/browser_qa.json,Local-only; approved current facts; no inferred surgeon; zero POST; no production action,100 hydrated + 100 no-JS + 200 semantic PASS; no overflow/broken images/console/hydration errors,PASS,Codex,One normal commit/push/Draft PR and external evidence; stop. Professional review UNKNOWN/NOT_COMPLETED; production blocked; claims=[]
QA-PR04B-MANAGED,2026-09-13T11:01:55.872913+00:00,be42e9d3547a9388e2e0a0ffa4d7258a55616579 + PR04B precommit source,Shared source/doctor role/price parity,PR04B authorized acceptance,DENTIX_PR04B_SURGERY_EVIDENCE_2026-09-13/surgery_managed_content.json; therapy_managed_content.json,Local-only; approved current facts; no inferred surgeon; zero POST; no production action,30 surgery + 24 therapy cases PASS; valid/empty/invalid/unmatched/near-role; visible/Person parity,PASS,Codex,One normal commit/push/Draft PR and external evidence; stop. Professional review UNKNOWN/NOT_COMPLETED; production blocked; claims=[]
QA-PR04B-LEAD,2026-09-13T11:01:55.872913+00:00,be42e9d3547a9388e2e0a0ffa4d7258a55616579 + PR04B precommit source,All ten routes / both drawer branches,PR04B authorized acceptance,DENTIX_PR04B_SURGERY_EVIDENCE_2026-09-13/lead_source_entry_points.json,Local-only; approved current facts; no inferred surgeon; zero POST; no production action,40 PASS; PUBLIC_DEMO/CANONICAL_CANDIDATE; zero POST,PASS,Codex,One normal commit/push/Draft PR and external evidence; stop. Professional review UNKNOWN/NOT_COMPLETED; production blocked; claims=[]
QA-PR04B-MOBILE,2026-09-13T11:01:55.872913+00:00,be42e9d3547a9388e2e0a0ffa4d7258a55616579 + PR04B precommit source,Safe local Chromium/WebKit,PR04B authorized acceptance,DENTIX_PR04B_SURGERY_EVIDENCE_2026-09-13/mobile-*/published.json,Local-only; approved current facts; no inferred surgeon; zero POST; no production action,40 PASS; ten viewport sizes per engine/profile; no submissions,PASS,Codex,One normal commit/push/Draft PR and external evidence; stop. Professional review UNKNOWN/NOT_COMPLETED; production blocked; claims=[]
QA-PR04B-FOUNDER,2026-09-13T11:01:55.872913+00:00,be42e9d3547a9388e2e0a0ffa4d7258a55616579 + PR04B precommit source,Founder/video/poster,PR04B authorized acceptance,DENTIX_PR04B_SURGERY_EVIDENCE_2026-09-13/founder_video_integration.json,Local-only; approved current facts; no inferred surgeon; zero POST; no production action,16 PASS; both engines/profiles; 390/1440; JS/no-JS; unchanged media hashes,PASS,Codex,One normal commit/push/Draft PR and external evidence; stop. Professional review UNKNOWN/NOT_COMPLETED; production blocked; claims=[]
QA-PR04B-VISUAL,2026-09-13T11:01:55.872913+00:00,be42e9d3547a9388e2e0a0ffa4d7258a55616579 + PR04B precommit source,Manual screenshot inspection,PR04B authorized acceptance,DENTIX_PR04B_SURGERY_EVIDENCE_2026-09-13/top-*.png; prices-*.png; team-*.png; visual-review.md,Local-only; approved current facts; no inferred surgeon; zero POST; no production action,Three production heroes at 390/1440; mobile price and no-surgeon sections reviewed; existing layout retained,PASS,Codex,One normal commit/push/Draft PR and external evidence; stop. Professional review UNKNOWN/NOT_COMPLETED; production blocked; claims=[]
QA-PR04B-OPERATOR,2026-09-13T11:01:55.872913+00:00,be42e9d3547a9388e2e0a0ffa4d7258a55616579 + PR04B precommit source,Identity/state/evidence/outcome,PR04B authorized acceptance,DENTIX_PR04B_SURGERY_EVIDENCE_2026-09-13/operator-identity.json; validator-results.json; negative-outcome.log,Local-only; approved current facts; no inferred surgeon; zero POST; no production action,213 immutable files and 10 skills match approved bundle; bundle/47 outcome tests/client/state/evidence/assets/page map PASS; claims=[],PASS,Codex,One normal commit/push/Draft PR and external evidence; stop. Professional review UNKNOWN/NOT_COMPLETED; production blocked; claims=[]
QA-PR04B-MERGE-REVIEW,2026-09-13T11:28:14.102250+00:00,c2c36d966f747092e9a20447f656227b90e11c7e,Independent merge evidence/source/content review,ZIP and seven-source/route/no-surgeon boundary,External DENTIX_PR04B_MERGE_PREVIEW_DEPLOY_EVIDENCE_2026-09-13,184 declared entries and exact base/head/scope; approved facts only,184/184 PASS; seven pins; 42 paths; no critical/high finding; NO_SERVER_CI,PASS,Codex,Fresh final-head suite then Ready/normal merge/one preview deployment pending; professional review incomplete; claims=[]
QA-PR04C-PREFLIGHT,2026-09-13T12:19:39.806751+00:00,ae1a929bd339b7a9172760320e9917325243004e + PR04C precommit source,Operator/Git/PR04B preview/source/migration,PR04C authorized local acceptance,DENTIX_PR04C_IMPLANT_PROSTHETICS_EVIDENCE_2026-09-13/operator-identity.json; git-preflight.json; source-pins.json; live-preview-preflight.json,Current approved facts; no inferred clinician; local only; no POST,213 immutable files; 10 skills; bundle/skills and 47 outcome tests PASS; 7 exact source pins; PR06 merged; successful workflow 34755054592/deployment 6421117100; 10 live noindex routes,PASS,Codex,Draft review only; professional review UNKNOWN / NOT_COMPLETED; production NOT_LAUNCHED; T0 NOT_READY; accounts ACCESS_BLOCKED; claims=[]
QA-PR04C-UNIT,2026-09-13T12:19:39.806751+00:00,ae1a929bd339b7a9172760320e9917325243004e + PR04C precommit source,Fresh unit and SSR contracts,PR04C authorized local acceptance,DENTIX_PR04C_IMPLANT_PROSTHETICS_EVIDENCE_2026-09-13/npm-test.log,Current approved facts; no inferred clinician; local only; no POST,25/25 PASS; SSR zero content requests,PASS,Codex,Draft review only; professional review UNKNOWN / NOT_COMPLETED; production NOT_LAUNCHED; T0 NOT_READY; accounts ACCESS_BLOCKED; claims=[]
QA-PR04C-ARTIFACT,2026-09-13T12:19:39.806751+00:00,ae1a929bd339b7a9172760320e9917325243004e + PR04C precommit source,Initial HTML/head/sitemap/Schema/internal links,PR04C authorized local acceptance,DENTIX_PR04C_IMPLANT_PROSTHETICS_EVIDENCE_2026-09-13/artifact-tests.log; *_assertions.json,Current approved facts; no inferred clinician; local only; no POST,34/34 PASS; 12 sitemap URLs; preview noindex/no canonical/no graph; 404/admin isolation,PASS,Codex,Draft review only; professional review UNKNOWN / NOT_COMPLETED; production NOT_LAUNCHED; T0 NOT_READY; accounts ACCESS_BLOCKED; claims=[]
QA-PR04C-BROWSER,2026-09-13T12:19:39.806751+00:00,ae1a929bd339b7a9172760320e9917325243004e + PR04C precommit source,Five-width rendering and critical-region parity,PR04C authorized local acceptance,DENTIX_PR04C_IMPLANT_PROSTHETICS_EVIDENCE_2026-09-13/browser_qa.json; implant_prosthetics_browser.json,Current approved facts; no inferred clinician; local only; no POST,120 hydrated + 120 no-JS + 240 semantics; 80 PR04C Chromium/WebKit cases PASS; 10 existing routes retained,PASS,Codex,Draft review only; professional review UNKNOWN / NOT_COMPLETED; production NOT_LAUNCHED; T0 NOT_READY; accounts ACCESS_BLOCKED; claims=[]
QA-PR04C-MANAGED,2026-09-13T12:19:39.806751+00:00,ae1a929bd339b7a9172760320e9917325243004e + PR04C precommit source,Exact role and single price source,PR04C authorized local acceptance,DENTIX_PR04C_IMPLANT_PROSTHETICS_EVIDENCE_2026-09-13/implant_prosthetics_managed_content.json; therapy_managed_content.json; surgery_managed_content.json,Current approved facts; no inferred clinician; local only; no POST,28 PR04C + 24 therapy + 30 surgery cases PASS; ортодонт rejected; no clinician fallback; valid unmatched values not restored,PASS,Codex,Draft review only; professional review UNKNOWN / NOT_COMPLETED; production NOT_LAUNCHED; T0 NOT_READY; accounts ACCESS_BLOCKED; claims=[]
QA-PR04C-SAFETY,2026-09-13T12:19:39.806751+00:00,ae1a929bd339b7a9172760320e9917325243004e + PR04C precommit source,Lead/mobile/founder/video regressions,PR04C authorized local acceptance,DENTIX_PR04C_IMPLANT_PROSTHETICS_EVIDENCE_2026-09-13/lead_source_entry_points.json; mobile-*/published.json; founder_video_integration.json,Current approved facts; no inferred clinician; local only; no POST,48 lead-source + 40 safe mobile + 16 founder/video PASS; zero POST or external mutations,PASS,Codex,Draft review only; professional review UNKNOWN / NOT_COMPLETED; production NOT_LAUNCHED; T0 NOT_READY; accounts ACCESS_BLOCKED; claims=[]
QA-PR04C-BUILD,2026-09-13T12:19:39.806751+00:00,ae1a929bd339b7a9172760320e9917325243004e + PR04C precommit source,Fresh dependency install and both profiles,PR04C authorized local acceptance,DENTIX_PR04C_IMPLANT_PROSTHETICS_EVIDENCE_2026-09-13/npm-ci.log; build-preview.log; build-production.log,Current approved facts; no inferred clinician; local only; no POST,npm ci and both 12-route builds PASS; package-lock unchanged,PASS,Codex,Draft review only; professional review UNKNOWN / NOT_COMPLETED; production NOT_LAUNCHED; T0 NOT_READY; accounts ACCESS_BLOCKED; claims=[]
QA-PR04C-OPERATOR,2026-09-13T12:22:07.818718+00:00,ae1a929bd339b7a9172760320e9917325243004e + PR04C precommit source,Operator/client/state/evidence/assets/outcome,Final authorized local gates,External PR04C validator-results.json; isolation-source-contracts.json; final-artifact-parity.json,Current chat permissions; exact DENTIX tenant; claims=[],All eight validators PASS; 213-file immutable identity and 47 outcome tests PASS; 64 migration dispositions and 49 HOLD rows preserved; final builds byte-identical to browser-validated artifacts,PASS,Codex,Draft only; no Ready/merge/deploy/accounts/indexing; professional review UNKNOWN / NOT_COMPLETED
QA-PR05-operator,2026-09-13T15:10:35.113651+00:00,PR05 reviewed working tree; final commit/hash receipt external,operator,Fresh production readiness acceptance,ops/release/acceptance.json; external PR05 qa logs/JSON/screenshots,Bounded local readiness and unchanged production,213 source files/10 skills; bundle; 47 outcome negative tests; 7 DENTIX path cases; client/state/evidence/assets/action allow-deny gates PASS,PASS,Codex technical QA; not qualified medical review,Draft PR review; resolve production blockers; no launch grant
QA-PR05-build-artifact,2026-09-13T15:10:35.113651+00:00,PR05 reviewed working tree; final commit/hash receipt external,build/artifact,Fresh production readiness acceptance,ops/release/acceptance.json; external PR05 qa logs/JSON/screenshots,Bounded local readiness and unchanged production,"{'npm_test': 25, 'artifact_tests': 34, 'hydrated': 120, 'no_javascript': 120, 'semantic': 240, 'http_404': 4, 'lead_source': 48, 'release_routes': 48, 'booking_seeds': 16, 'release_tests': 13, 'therapy_managed': 24, 'surgery_managed': 30, 'implant_managed': 28, 'implant_critical_browser': 80, 'founder_video': 16, 'safe_mobile': 40}",PASS,Codex technical QA; not qualified medical review,Draft PR review; resolve production blockers; no launch grant
QA-PR05-release,2026-09-13T15:10:35.113651+00:00,PR05 reviewed working tree; final commit/hash receipt external,release,Fresh production readiness acceptance,ops/release/acceptance.json; external PR05 qa logs/JSON/screenshots,Bounded local readiness and unchanged production,Twelve routes; unique Ukrainian heads; self-canonical/index; 12 sitemap URLs; wildcard bot allow; no preview base/admin; real 404; CSS/links/media hashes; deterministic content manifest; 64 map rows/49 HOLD,PASS,Codex technical QA; not qualified medical review,Draft PR review; resolve production blockers; no launch grant
QA-PR05-boundary,2026-09-13T15:10:35.113651+00:00,PR05 reviewed working tree; final commit/hash receipt external,boundary,Fresh production readiness acceptance,ops/release/acceptance.json; external PR05 qa logs/JSON/screenshots,Bounded local readiness and unchanged production,Zero submissions; no endpoint/workflow/dependency/medical/disposition changes; no production/account/indexing mutation; claims=[],PASS,Codex technical QA; not qualified medical review,Draft PR review; resolve production blockers; no launch grant
