query,language,market,search_location,device,collected_at,account_context,result_position,result_url,result_type,dominant_intent,serp_features,limitations,result_domain,title_snippet_themes,source_url,dentix_presence,sample_id,verified_representative_url
лікування каналів Дніпро,uk,Ukraine / Dnipro,Dnipro in query; IP-derived location Kyiv; no precise location permission,desktop Chrome,2026-09-12T12:04:54.296Z,Sign-in link visible; pws=0; personalization not fully controllable,UNKNOWN,UNKNOWN_FULL_RESULT_URL,procedure,endodontics,not observed; AI Overview present,"Top-domain sample from first result page; ads excluded. Opaque Google redirect hrefs/breadcrumb truncation prevent exact full URL for some rows. Named route verified separately when available; no numeric/local stable rank, volume or outcome claim.",ameldental.com,root-canal treatment and microscope,https://www.google.com/search?q=%D0%BB%D1%96%D0%BA%D1%83%D0%B2%D0%B0%D0%BD%D0%BD%D1%8F+%D0%BA%D0%B0%D0%BD%D0%B0%D0%BB%D1%96%D0%B2+%D0%94%D0%BD%D1%96%D0%BF%D1%80%D0%BE&hl=uk&gl=ua&pws=0,not seen in captured first-page organic; not global absence,S04,UNKNOWN
лікування каналів Дніпро,uk,Ukraine / Dnipro,Dnipro in query; IP-derived location Kyiv; no precise location permission,desktop Chrome,2026-09-12T12:04:54.296Z,Sign-in link visible; pws=0; personalization not fully controllable,UNKNOWN,UNKNOWN_FULL_RESULT_URL,microscope procedure,endodontics,not observed; AI Overview present,"Top-domain sample from first result page; ads excluded. Opaque Google redirect hrefs/breadcrumb truncation prevent exact full URL for some rows. Named route verified separately when available; no numeric/local stable rank, volume or outcome claim.",stomatologia.dp.ua,root-canal treatment and microscope,https://www.google.com/search?q=%D0%BB%D1%96%D0%BA%D1%83%D0%B2%D0%B0%D0%BD%D0%BD%D1%8F+%D0%BA%D0%B0%D0%BD%D0%B0%D0%BB%D1%96%D0%B2+%D0%94%D0%BD%D1%96%D0%BF%D1%80%D0%BE&hl=uk&gl=ua&pws=0,not seen in captured first-page organic; not global absence,S04,UNKNOWN
ендодонт Дніпро,uk,Ukraine / Dnipro,Dnipro in query; IP-derived location Kyiv; no precise location permission,desktop Chrome,2026-09-12T11:59:32.972Z,Sign-in link visible; pws=0; personalization not fully controllable,UNKNOWN,UNKNOWN_FULL_RESULT_URL,doctor directory,endodontics,local pack; AI Overview not captured; absence not established,"Top-domain sample from first result page; ads excluded. Opaque Google redirect hrefs/breadcrumb truncation prevent exact full URL for some rows. Named route verified separately when available; no numeric/local stable rank, volume or outcome claim.",doc.ua,clinician expertise and endodontic treatment,https://www.google.com/search?q=%D0%B5%D0%BD%D0%B4%D0%BE%D0%B4%D0%BE%D0%BD%D1%82+%D0%94%D0%BD%D1%96%D0%BF%D1%80%D0%BE&hl=uk&gl=ua&pws=0,not seen in captured first-page organic; not global absence,S05,UNKNOWN
ендодонт Дніпро,uk,Ukraine / Dnipro,Dnipro in query; IP-derived location Kyiv; no precise location permission,desktop Chrome,2026-09-12T11:59:32.972Z,Sign-in link visible; pws=0; personalization not fully controllable,UNKNOWN,https://www.artsmile.dp.ua/endodontiia,procedure,endodontics,local pack; AI Overview not captured; absence not established,"Top-domain sample from first result page; ads excluded. Opaque Google redirect hrefs/breadcrumb truncation prevent exact full URL for some rows. Named route verified separately when available; no numeric/local stable rank, volume or outcome claim.",artsmile.dp.ua,clinician expertise and endodontic treatment,https://www.google.com/search?q=%D0%B5%D0%BD%D0%B4%D0%BE%D0%B4%D0%BE%D0%BD%D1%82+%D0%94%D0%BD%D1%96%D0%BF%D1%80%D0%BE&hl=uk&gl=ua&pws=0,not seen in captured first-page organic; not global absence,S05,https://www.artsmile.dp.ua/endodontiia
ендодонт Дніпро,uk,Ukraine / Dnipro,Dnipro in query; IP-derived location Kyiv; no precise location permission,desktop Chrome,2026-09-12T11:59:32.972Z,Sign-in link visible; pws=0; personalization not fully controllable,UNKNOWN,UNKNOWN_FULL_RESULT_URL,procedure,endodontics,local pack; AI Overview not captured; absence not established,"Top-domain sample from first result page; ads excluded. Opaque Google redirect hrefs/breadcrumb truncation prevent exact full URL for some rows. Named route verified separately when available; no numeric/local stable rank, volume or outcome claim.",termidental.dp.ua,clinician expertise and endodontic treatment,https://www.google.com/search?q=%D0%B5%D0%BD%D0%B4%D0%BE%D0%B4%D0%BE%D0%BD%D1%82+%D0%94%D0%BD%D1%96%D0%BF%D1%80%D0%BE&hl=uk&gl=ua&pws=0,not seen in captured first-page organic; not global absence,S05,UNKNOWN
лікування зубів під мікроскопом Дніпро,uk,Ukraine / Dnipro,Dnipro in query; IP-derived location Kyiv; no precise location permission,desktop Chrome,2026-09-12T11:59:51.610Z,Sign-in link visible; pws=0; personalization not fully controllable,UNKNOWN,UNKNOWN_FULL_RESULT_URL,procedure,endodontics,local pack; AI Overview present,"Top-domain sample from first result page; ads excluded. Opaque Google redirect hrefs/breadcrumb truncation prevent exact full URL for some rows. Named route verified separately when available; no numeric/local stable rank, volume or outcome claim.",stomatologia.dp.ua,microscope treatment; canals and indications,https://www.google.com/search?q=%D0%BB%D1%96%D0%BA%D1%83%D0%B2%D0%B0%D0%BD%D0%BD%D1%8F+%D0%B7%D1%83%D0%B1%D1%96%D0%B2+%D0%BF%D1%96%D0%B4+%D0%BC%D1%96%D0%BA%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF%D0%BE%D0%BC+%D0%94%D0%BD%D1%96%D0%BF%D1%80%D0%BE&hl=uk&gl=ua&pws=0,not seen in captured first-page organic; not global absence,S06,UNKNOWN
лікування зубів під мікроскопом Дніпро,uk,Ukraine / Dnipro,Dnipro in query; IP-derived location Kyiv; no precise location permission,desktop Chrome,2026-09-12T11:59:51.610Z,Sign-in link visible; pws=0; personalization not fully controllable,UNKNOWN,UNKNOWN_FULL_RESULT_URL,procedure,endodontics,local pack; AI Overview present,"Top-domain sample from first result page; ads excluded. Opaque Google redirect hrefs/breadcrumb truncation prevent exact full URL for some rows. Named route verified separately when available; no numeric/local stable rank, volume or outcome claim.",stomaservice.com.ua,microscope treatment; canals and indications,https://www.google.com/search?q=%D0%BB%D1%96%D0%BA%D1%83%D0%B2%D0%B0%D0%BD%D0%BD%D1%8F+%D0%B7%D1%83%D0%B1%D1%96%D0%B2+%D0%BF%D1%96%D0%B4+%D0%BC%D1%96%D0%BA%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF%D0%BE%D0%BC+%D0%94%D0%BD%D1%96%D0%BF%D1%80%D0%BE&hl=uk&gl=ua&pws=0,not seen in captured first-page organic; not global absence,S06,UNKNOWN
лікування зубів під мікроскопом Дніпро,uk,Ukraine / Dnipro,Dnipro in query; IP-derived location Kyiv; no precise location permission,desktop Chrome,2026-09-12T11:59:51.610Z,Sign-in link visible; pws=0; personalization not fully controllable,UNKNOWN,UNKNOWN_FULL_RESULT_URL,procedure,endodontics,local pack; AI Overview present,"Top-domain sample from first result page; ads excluded. Opaque Google redirect hrefs/breadcrumb truncation prevent exact full URL for some rows. Named route verified separately when available; no numeric/local stable rank, volume or outcome claim.",kurtova-dentalclinic.com.ua,microscope treatment; canals and indications,https://www.google.com/search?q=%D0%BB%D1%96%D0%BA%D1%83%D0%B2%D0%B0%D0%BD%D0%BD%D1%8F+%D0%B7%D1%83%D0%B1%D1%96%D0%B2+%D0%BF%D1%96%D0%B4+%D0%BC%D1%96%D0%BA%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF%D0%BE%D0%BC+%D0%94%D0%BD%D1%96%D0%BF%D1%80%D0%BE&hl=uk&gl=ua&pws=0,not seen in captured first-page organic; not global absence,S06,UNKNOWN
стоматолог хірург Дніпро,uk,Ukraine / Dnipro,Dnipro in query; IP-derived location Kyiv; no precise location permission,desktop Chrome,2026-09-12T12:05:15.177Z,Sign-in link visible; pws=0; personalization not fully controllable,UNKNOWN,UNKNOWN_FULL_RESULT_URL,doctor directory,surgery,local pack; AI Overview not captured; absence not established,"Top-domain sample from first result page; ads excluded. Opaque Google redirect hrefs/breadcrumb truncation prevent exact full URL for some rows. Named route verified separately when available; no numeric/local stable rank, volume or outcome claim.",doc.ua,surgeon and service selection; AI processing incomplete,https://www.google.com/search?q=%D1%81%D1%82%D0%BE%D0%BC%D0%B0%D1%82%D0%BE%D0%BB%D0%BE%D0%B3+%D1%85%D1%96%D1%80%D1%83%D1%80%D0%B3+%D0%94%D0%BD%D1%96%D0%BF%D1%80%D0%BE&hl=uk&gl=ua&pws=0,not seen in captured first-page organic; not global absence,S07,UNKNOWN
стоматолог хірург Дніпро,uk,Ukraine / Dnipro,Dnipro in query; IP-derived location Kyiv; no precise location permission,desktop Chrome,2026-09-12T12:05:15.177Z,Sign-in link visible; pws=0; personalization not fully controllable,UNKNOWN,UNKNOWN_FULL_RESULT_URL,surgery hub,surgery,local pack; AI Overview not captured; absence not established,"Top-domain sample from first result page; ads excluded. Opaque Google redirect hrefs/breadcrumb truncation prevent exact full URL for some rows. Named route verified separately when available; no numeric/local stable rank, volume or outcome claim.",dentalika.dp.ua,surgeon and service selection; AI processing incomplete,https://www.google.com/search?q=%D1%81%D1%82%D0%BE%D0%BC%D0%B0%D1%82%D0%BE%D0%BB%D0%BE%D0%B3+%D1%85%D1%96%D1%80%D1%83%D1%80%D0%B3+%D0%94%D0%BD%D1%96%D0%BF%D1%80%D0%BE&hl=uk&gl=ua&pws=0,not seen in captured first-page organic; not global absence,S07,UNKNOWN
стоматолог хірург Дніпро,uk,Ukraine / Dnipro,Dnipro in query; IP-derived location Kyiv; no precise location permission,desktop Chrome,2026-09-12T12:05:15.177Z,Sign-in link visible; pws=0; personalization not fully controllable,UNKNOWN,https://stomaservice.com.ua/surgery,surgery hub,surgery,local pack; AI Overview not captured; absence not established,"Top-domain sample from first result page; ads excluded. Opaque Google redirect hrefs/breadcrumb truncation prevent exact full URL for some rows. Named route verified separately when available; no numeric/local stable rank, volume or outcome claim.",stomaservice.com.ua,surgeon and service selection; AI processing incomplete,https://www.google.com/search?q=%D1%81%D1%82%D0%BE%D0%BC%D0%B0%D1%82%D0%BE%D0%BB%D0%BE%D0%B3+%D1%85%D1%96%D1%80%D1%83%D1%80%D0%B3+%D0%94%D0%BD%D1%96%D0%BF%D1%80%D0%BE&hl=uk&gl=ua&pws=0,not seen in captured first-page organic; not global absence,S07,https://stomaservice.com.ua/surgery
видалення зуба Дніпро,uk,Ukraine / Dnipro,Dnipro in query; IP-derived location Kyiv; no precise location permission,desktop Chrome,2026-09-12T11:59:52.404Z,Sign-in link visible; pws=0; personalization not fully controllable,UNKNOWN,https://stomaservice.com.ua/surgery/udalenie-zubov,procedure,extraction,local pack; AI Overview not captured; absence not established,"Top-domain sample from first result page; ads excluded. Opaque Google redirect hrefs/breadcrumb truncation prevent exact full URL for some rows. Named route verified separately when available; no numeric/local stable rank, volume or outcome claim.",stomaservice.com.ua,extraction price and service comparison; AI processing incomplete,https://www.google.com/search?q=%D0%B2%D0%B8%D0%B4%D0%B0%D0%BB%D0%B5%D0%BD%D0%BD%D1%8F+%D0%B7%D1%83%D0%B1%D0%B0+%D0%94%D0%BD%D1%96%D0%BF%D1%80%D0%BE&hl=uk&gl=ua&pws=0,not seen in captured first-page organic; not global absence,S08,https://stomaservice.com.ua/surgery/udalenie-zubov
видалення зуба Дніпро,uk,Ukraine / Dnipro,Dnipro in query; IP-derived location Kyiv; no precise location permission,desktop Chrome,2026-09-12T11:59:52.404Z,Sign-in link visible; pws=0; personalization not fully controllable,UNKNOWN,UNKNOWN_FULL_RESULT_URL,procedure,extraction,local pack; AI Overview not captured; absence not established,"Top-domain sample from first result page; ads excluded. Opaque Google redirect hrefs/breadcrumb truncation prevent exact full URL for some rows. Named route verified separately when available; no numeric/local stable rank, volume or outcome claim.",stomatpoliklinika1.dp.ua,extraction price and service comparison; AI processing incomplete,https://www.google.com/search?q=%D0%B2%D0%B8%D0%B4%D0%B0%D0%BB%D0%B5%D0%BD%D0%BD%D1%8F+%D0%B7%D1%83%D0%B1%D0%B0+%D0%94%D0%BD%D1%96%D0%BF%D1%80%D0%BE&hl=uk&gl=ua&pws=0,not seen in captured first-page organic; not global absence,S08,UNKNOWN
видалення зуба Дніпро,uk,Ukraine / Dnipro,Dnipro in query; IP-derived location Kyiv; no precise location permission,desktop Chrome,2026-09-12T11:59:52.404Z,Sign-in link visible; pws=0; personalization not fully controllable,UNKNOWN,UNKNOWN_FULL_RESULT_URL,directory,extraction,local pack; AI Overview not captured; absence not established,"Top-domain sample from first result page; ads excluded. Opaque Google redirect hrefs/breadcrumb truncation prevent exact full URL for some rows. Named route verified separately when available; no numeric/local stable rank, volume or outcome claim.",likarni.com,extraction price and service comparison; AI processing incomplete,https://www.google.com/search?q=%D0%B2%D0%B8%D0%B4%D0%B0%D0%BB%D0%B5%D0%BD%D0%BD%D1%8F+%D0%B7%D1%83%D0%B1%D0%B0+%D0%94%D0%BD%D1%96%D0%BF%D1%80%D0%BE&hl=uk&gl=ua&pws=0,not seen in captured first-page organic; not global absence,S08,UNKNOWN
видалення зуба мудрості Дніпро,uk,Ukraine / Dnipro,Dnipro in query; IP-derived location Kyiv; no precise location permission,desktop Chrome,2026-09-12T12:00:36.042Z,Sign-in link visible; pws=0; personalization not fully controllable,UNKNOWN,https://dentalika.dp.ua/uk/poslugi/klinika-hirurgichnoi-stomatologii/vidalennja-zuba-mudrosti/,procedure,wisdom,local pack; AI Overview present,"Top-domain sample from first result page; ads excluded. Opaque Google redirect hrefs/breadcrumb truncation prevent exact full URL for some rows. Named route verified separately when available; no numeric/local stable rank, volume or outcome claim.",dentalika.dp.ua,wisdom-specific complexity; diagnosis; recovery,https://www.google.com/search?q=%D0%B2%D0%B8%D0%B4%D0%B0%D0%BB%D0%B5%D0%BD%D0%BD%D1%8F+%D0%B7%D1%83%D0%B1%D0%B0+%D0%BC%D1%83%D0%B4%D1%80%D0%BE%D1%81%D1%82%D1%96+%D0%94%D0%BD%D1%96%D0%BF%D1%80%D0%BE&hl=uk&gl=ua&pws=0,not seen in captured first-page organic; not global absence,S09,https://dentalika.dp.ua/uk/poslugi/klinika-hirurgichnoi-stomatologii/vidalennja-zuba-mudrosti/
видалення зуба мудрості Дніпро,uk,Ukraine / Dnipro,Dnipro in query; IP-derived location Kyiv; no precise location permission,desktop Chrome,2026-09-12T12:00:36.042Z,Sign-in link visible; pws=0; personalization not fully controllable,UNKNOWN,UNKNOWN_FULL_RESULT_URL,procedure,wisdom,local pack; AI Overview present,"Top-domain sample from first result page; ads excluded. Opaque Google redirect hrefs/breadcrumb truncation prevent exact full URL for some rows. Named route verified separately when available; no numeric/local stable rank, volume or outcome claim.",stomaservice.com.ua,wisdom-specific complexity; diagnosis; recovery,https://www.google.com/search?q=%D0%B2%D0%B8%D0%B4%D0%B0%D0%BB%D0%B5%D0%BD%D0%BD%D1%8F+%D0%B7%D1%83%D0%B1%D0%B0+%D0%BC%D1%83%D0%B4%D1%80%D0%BE%D1%81%D1%82%D1%96+%D0%94%D0%BD%D1%96%D0%BF%D1%80%D0%BE&hl=uk&gl=ua&pws=0,not seen in captured first-page organic; not global absence,S09,UNKNOWN
видалення зуба мудрості Дніпро,uk,Ukraine / Dnipro,Dnipro in query; IP-derived location Kyiv; no precise location permission,desktop Chrome,2026-09-12T12:00:36.042Z,Sign-in link visible; pws=0; personalization not fully controllable,UNKNOWN,UNKNOWN_FULL_RESULT_URL,article/procedure,wisdom,local pack; AI Overview present,"Top-domain sample from first result page; ads excluded. Opaque Google redirect hrefs/breadcrumb truncation prevent exact full URL for some rows. Named route verified separately when available; no numeric/local stable rank, volume or outcome claim.",stomatpoliklinika1.dp.ua,wisdom-specific complexity; diagnosis; recovery,https://www.google.com/search?q=%D0%B2%D0%B8%D0%B4%D0%B0%D0%BB%D0%B5%D0%BD%D0%BD%D1%8F+%D0%B7%D1%83%D0%B1%D0%B0+%D0%BC%D1%83%D0%B4%D1%80%D0%BE%D1%81%D1%82%D1%96+%D0%94%D0%BD%D1%96%D0%BF%D1%80%D0%BE&hl=uk&gl=ua&pws=0,not seen in captured first-page organic; not global absence,S09,UNKNOWN
складне видалення зуба Дніпро,uk,Ukraine / Dnipro,Dnipro in query; IP-derived location Kyiv; no precise location permission,desktop Chrome,2026-09-12T12:01:09.303Z,Sign-in link visible; pws=0; personalization not fully controllable,UNKNOWN,https://stomaservice.com.ua/surgery/udalenie-zubov,general extraction,extraction,not observed; AI Overview present,"Top-domain sample from first result page; ads excluded. Opaque Google redirect hrefs/breadcrumb truncation prevent exact full URL for some rows. Named route verified separately when available; no numeric/local stable rank, volume or outcome claim.",stomaservice.com.ua,mixed general and dedicated complex-extraction intent,https://www.google.com/search?q=%D1%81%D0%BA%D0%BB%D0%B0%D0%B4%D0%BD%D0%B5+%D0%B2%D0%B8%D0%B4%D0%B0%D0%BB%D0%B5%D0%BD%D0%BD%D1%8F+%D0%B7%D1%83%D0%B1%D0%B0+%D0%94%D0%BD%D1%96%D0%BF%D1%80%D0%BE&hl=uk&gl=ua&pws=0,not seen in captured first-page organic; not global absence,S10,https://stomaservice.com.ua/surgery/udalenie-zubov
складне видалення зуба Дніпро,uk,Ukraine / Dnipro,Dnipro in query; IP-derived location Kyiv; no precise location permission,desktop Chrome,2026-09-12T12:01:09.303Z,Sign-in link visible; pws=0; personalization not fully controllable,UNKNOWN,https://dentalika.dp.ua/uk/poslugi/klinika-hirurgichnoi-stomatologii/skladne-vidalennja-zuba/,complex extraction,extraction,not observed; AI Overview present,"Top-domain sample from first result page; ads excluded. Opaque Google redirect hrefs/breadcrumb truncation prevent exact full URL for some rows. Named route verified separately when available; no numeric/local stable rank, volume or outcome claim.",dentalika.dp.ua,mixed general and dedicated complex-extraction intent,https://www.google.com/search?q=%D1%81%D0%BA%D0%BB%D0%B0%D0%B4%D0%BD%D0%B5+%D0%B2%D0%B8%D0%B4%D0%B0%D0%BB%D0%B5%D0%BD%D0%BD%D1%8F+%D0%B7%D1%83%D0%B1%D0%B0+%D0%94%D0%BD%D1%96%D0%BF%D1%80%D0%BE&hl=uk&gl=ua&pws=0,not seen in captured first-page organic; not global absence,S10,https://dentalika.dp.ua/uk/poslugi/klinika-hirurgichnoi-stomatologii/skladne-vidalennja-zuba/
