query_id,platform,prompt,language,region,persona,intent,journey_stage,collection_method,owner,status
Q01,Google AI Overview; ChatGPT/Bing separate access gaps,стоматолог терапевт Дніпро,uk,Ukraine / Dnipro requested; IP locale Kyiv,potential clinic patient,commercial service/clinician evaluation,evaluate/contact,Chrome Google Search; exact query; hl=uk gl=ua pws=0; signed out UI; IP-derived locale; one round; AI Overview sample only if fully captured,DENTIX SEO operator,See ai-sample-log.csv; unsampled AI query remains NOT_CHECKED
Q12,Google AI Overview; ChatGPT/Bing separate access gaps,зубні імпланти Дніпро,uk,Ukraine / Dnipro requested; IP locale Kyiv,potential clinic patient,commercial service/clinician evaluation,evaluate/contact,Chrome Google Search; exact query; hl=uk gl=ua pws=0; signed out UI; IP-derived locale; one round; AI Overview sample only if fully captured,DENTIX SEO operator,See ai-sample-log.csv; unsampled AI query remains NOT_CHECKED
Q13,Google AI Overview; ChatGPT/Bing separate access gaps,стоматологічна імплантація Дніпро,uk,Ukraine / Dnipro requested; IP locale Kyiv,potential clinic patient,commercial service/clinician evaluation,evaluate/contact,Chrome Google Search; exact query; hl=uk gl=ua pws=0; signed out UI; IP-derived locale; one round; AI Overview sample only if fully captured,DENTIX SEO operator,See ai-sample-log.csv; unsampled AI query remains NOT_CHECKED
Q14,Google AI Overview; ChatGPT/Bing separate access gaps,вартість імплантації зубів Дніпро,uk,Ukraine / Dnipro requested; IP locale Kyiv,potential clinic patient,commercial service/clinician evaluation,evaluate/contact,Chrome Google Search; exact query; hl=uk gl=ua pws=0; signed out UI; IP-derived locale; one round; AI Overview sample only if fully captured,DENTIX SEO operator,See ai-sample-log.csv; unsampled AI query remains NOT_CHECKED
Q15,Google AI Overview; ChatGPT/Bing separate access gaps,DENTIX Дніпро,uk,Ukraine / Dnipro requested; IP locale Kyiv,potential clinic patient,local clinic navigation,evaluate/contact,Chrome Google Search; exact query; hl=uk gl=ua pws=0; signed out UI; IP-derived locale; one round; AI Overview sample only if fully captured,DENTIX SEO operator,See ai-sample-log.csv; unsampled AI query remains NOT_CHECKED
Q16,Google AI Overview; ChatGPT/Bing separate access gaps,DENTIX Калинова 28,uk,Ukraine / Dnipro requested; IP locale Kyiv,potential clinic patient,local clinic navigation,evaluate/contact,Chrome Google Search; exact query; hl=uk gl=ua pws=0; signed out UI; IP-derived locale; one round; AI Overview sample only if fully captured,DENTIX SEO operator,See ai-sample-log.csv; unsampled AI query remains NOT_CHECKED
Q17,Google AI Overview; ChatGPT/Bing separate access gaps,стоматологія Калинова Дніпро,uk,Ukraine / Dnipro requested; IP locale Kyiv,potential clinic patient,local clinic navigation,evaluate/contact,Chrome Google Search; exact query; hl=uk gl=ua pws=0; signed out UI; IP-derived locale; one round; AI Overview sample only if fully captured,DENTIX SEO operator,See ai-sample-log.csv; unsampled AI query remains NOT_CHECKED
Q18,Google AI Overview; ChatGPT/Bing separate access gaps,лечение кариеса Днепр,ru,Ukraine / Dnipro requested; IP locale Kyiv,potential clinic patient,commercial service/clinician evaluation,evaluate/contact,Chrome Google Search; exact query; hl=uk gl=ua pws=0; signed out UI; IP-derived locale; one round; AI Overview sample only if fully captured,DENTIX SEO operator,See ai-sample-log.csv; unsampled AI query remains NOT_CHECKED
Q19,Google AI Overview; ChatGPT/Bing separate access gaps,лечение каналов Днепр,ru,Ukraine / Dnipro requested; IP locale Kyiv,potential clinic patient,commercial service/clinician evaluation,evaluate/contact,Chrome Google Search; exact query; hl=uk gl=ua pws=0; signed out UI; IP-derived locale; one round; AI Overview sample only if fully captured,DENTIX SEO operator,See ai-sample-log.csv; unsampled AI query remains NOT_CHECKED
Q20,Google AI Overview; ChatGPT/Bing separate access gaps,стоматолог хирург Днепр,ru,Ukraine / Dnipro requested; IP locale Kyiv,potential clinic patient,commercial service/clinician evaluation,evaluate/contact,Chrome Google Search; exact query; hl=uk gl=ua pws=0; signed out UI; IP-derived locale; one round; AI Overview sample only if fully captured,DENTIX SEO operator,See ai-sample-log.csv; unsampled AI query remains NOT_CHECKED
Q21,Google AI Overview; ChatGPT/Bing separate access gaps,удаление зуба Днепр,ru,Ukraine / Dnipro requested; IP locale Kyiv,potential clinic patient,commercial service/clinician evaluation,evaluate/contact,Chrome Google Search; exact query; hl=uk gl=ua pws=0; signed out UI; IP-derived locale; one round; AI Overview sample only if fully captured,DENTIX SEO operator,See ai-sample-log.csv; unsampled AI query remains NOT_CHECKED
Q22,Google AI Overview; ChatGPT/Bing separate access gaps,удаление зуба мудрости Днепр,ru,Ukraine / Dnipro requested; IP locale Kyiv,potential clinic patient,commercial service/clinician evaluation,evaluate/contact,Chrome Google Search; exact query; hl=uk gl=ua pws=0; signed out UI; IP-derived locale; one round; AI Overview sample only if fully captured,DENTIX SEO operator,See ai-sample-log.csv; unsampled AI query remains NOT_CHECKED
Q23,Google AI Overview; ChatGPT/Bing separate access gaps,имплантация зубов Днепр,ru,Ukraine / Dnipro requested; IP locale Kyiv,potential clinic patient,commercial service/clinician evaluation,evaluate/contact,Chrome Google Search; exact query; hl=uk gl=ua pws=0; signed out UI; IP-derived locale; one round; AI Overview sample only if fully captured,DENTIX SEO operator,See ai-sample-log.csv; unsampled AI query remains NOT_CHECKED
Q24,Google AI Overview; ChatGPT/Bing separate access gaps,импланты зубов Днепр,ru,Ukraine / Dnipro requested; IP locale Kyiv,potential clinic patient,commercial service/clinician evaluation,evaluate/contact,Chrome Google Search; exact query; hl=uk gl=ua pws=0; signed out UI; IP-derived locale; one round; AI Overview sample only if fully captured,DENTIX SEO operator,See ai-sample-log.csv; unsampled AI query remains NOT_CHECKED
